Order_ID,Order_Date,Customer_ID,Customer_Name,Industry,Country,Region,Product_Category,Product,Application,Sales_Channel,Quantity,Unit_Price,Discount_Pct,Revenue,Cost,Gross_Profit,Order_Status,Delivery_Days,Warranty_Status,Service_Request,Service_Type,Customer_Rating,Sales_Rep
KF-10011,2025-10-02,CUST-1042,Oceanic Marine Ltd,Marine,Australia,Asia Pacific,Temperature Controls,Temperature Controller,Engine Room,System Integrator,20,2727.96,5,51831.24,41714.57,10116.67,In Transit,29.0,Active,No,Unknown,0.0,Priya Sharma
KF-10012,2024-04-08,CUST-1120,Apex Data Infrastructure,Data Center,Canada,North America,Fire Suppression,Water Mist System,Server Room,OEM Partner,2,22039.67,7,40993.79,27111.95,13881.84,In Transit,20.0,Not Applicable,No,Unknown,0.0,Priya Sharma
KF-10013,2026-04-01,CUST-1248,Eastern Process Solutions,Marine,Canada,North America,Temperature Controls,Thermal Sensor,Engine Room,System Integrator,16,719.21,3,11162.14,7944.05,3218.09,Delivered,45.0,Active,Yes,Replacement,3.0,David Miller
KF-10014,2024-10-09,CUST-1197,Oceanic Marine Ltd,Marine,India,Asia Pacific,Fire Suppression,CO2 Suppression System,Engine Room,OEM Partner,22,25642.01,5,535918.01,425567.76,110350.25,Delivered,25.0,Active,No,Unknown,4.0,David Miller
KF-10015,2024-04-08,CUST-1160,MedCore Facilities,Oil & Gas,Japan,Asia Pacific,Fire Detection,Manual Call Point,Process Area,Direct,29,1493.21,5,41137.94,33403.89,7734.05,On Hold,0.0,Active,No,Unknown,0.0,Ananya Rao
KF-10016,2025-09-30,CUST-1246,MedCore Facilities,Oil & Gas,Germany,Europe,Fire Suppression,CO2 Suppression System,Process Area,Direct,26,6565.62,7,158756.69,105743.9,53012.79,Delivered,6.0,Active,No,Unknown,3.0,Sarah Wilson
KF-10017,2025-10-15,CUST-1066,MedCore Facilities,Commercial,Australia,Asia Pacific,Fire Detection,Manual Call Point,Commercial Building,System Integrator,28,5572.84,0,156039.52,105362.27,50677.25,Cancelled,0.0,Active,No,Unknown,0.0,Emily Davis
KF-10018,2024-02-22,CUST-1094,Oceanic Marine Ltd,Oil & Gas,Germany,Europe,Fire Suppression,Clean Agent System,Process Area,System Integrator,26,9679.7,3,244122.03,172188.64,71933.39,Delivered,9.0,Active,No,Unknown,3.0,Ananya Rao
KF-10019,2026-03-01,CUST-1096,Vertex Industrial,Oil & Gas,India,Asia Pacific,Gas Ignition Controls,Flame Detector,Process Area,OEM Partner,19,5864.38,0,111423.22,90368.2,21055.02,Delivered,16.0,Active,Yes,Preventive Maintenance,4.0,Michael Brown
KF-10020,2024-08-07,CUST-1218,Summit Energy Services,Manufacturing,India,Asia Pacific,Fire Suppression,Clean Agent System,Production Floor,OEM Partner,5,12985.48,10,58434.66,34093.96,24340.7,Delivered,34.0,Not Applicable,No,Unknown,4.0,James Anderson
KF-10021,2024-11-20,CUST-1241,NextGrid Energy,Manufacturing,UK,Europe,Fire Suppression,Clean Agent System,Production Floor,OEM Partner,26,7094.13,12,162313.69,113660.09,48653.6,In Transit,20.0,Active,No,Unknown,0.0,Priya Sharma
KF-10022,2024-01-12,CUST-1090,Eastern Process Solutions,Marine,Netherlands,Europe,Fire Detection,Addressable Fire Alarm Panel,Engine Room,Direct,11,6358.1,3,67840.93,43808.33,24032.6,Delivered,6.0,Active,No,Unknown,4.0,Sarah Wilson
KF-10023,2026-01-30,CUST-1240,NextGrid Energy,Manufacturing,Singapore,Asia Pacific,Temperature Controls,High Temperature Switch,Production Floor,Distributor,4,7309.67,0,29238.68,19891.28,9347.4,Delivered,41.0,Expired,No,Unknown,5.0,Michael Brown
KF-10024,2026-05-29,CUST-1233,Oceanic Marine Ltd,BESS,Japan,Asia Pacific,Gas Ignition Controls,Gas Ignition Controller,Battery Energy Storage Room,OEM Partner,17,3808.66,12,56977.55,39956.11,17021.44,Delivered,17.0,Not Applicable,No,Unknown,1.0,Michael Brown
KF-10025,2025-07-18,CUST-1186,MedCore Facilities,Marine,Germany,Europe,Fire Suppression,Water Mist System,Engine Room,Distributor,26,14009.89,7,338759.14,213775.55,124983.59,Processing,0.0,Expired,Yes,Breakdown Support,0.0,Robert Taylor
KF-10026,2024-06-22,CUST-1005,Prime Commercial Group,Marine,USA,North America,Gas Ignition Controls,Ignition Module,Engine Room,Distributor,18,9363.1,10,151682.22,118499.52,33182.7,In Transit,13.0,Expired,No,Unknown,0.0,David Miller
KF-10027,2024-06-30,CUST-1173,Global Power Systems,Data Center,India,Asia Pacific,Fire Suppression,Water Mist System,Server Room,OEM Partner,7,6286.47,0,44005.29,33730.73,10274.56,In Transit,14.0,Not Applicable,Yes,Inspection,0.0,Emily Davis
KF-10028,2026-07-22,CUST-1213,Prime Commercial Group,Data Center,Canada,North America,Temperature Controls,Temperature Controller,Server Room,OEM Partner,7,2679.06,5,17815.75,14047.07,3768.68,Delivered,36.0,Active,No,Unknown,2.0,David Miller
KF-10029,2024-01-12,CUST-1152,Prime Commercial Group,Data Center,India,Asia Pacific,Fire Suppression,Clean Agent System,Server Room,OEM Partner,14,26716.13,5,355324.53,268946.62,86377.91,On Hold,0.0,Active,No,Unknown,0.0,Sarah Wilson
KF-10030,2026-07-17,CUST-1082,Oceanic Marine Ltd,Power Generation,Canada,North America,Fire Suppression,Water Mist System,Turbine Hall,OEM Partner,28,11424.25,7,297487.47,210818.4,86669.07,Delivered,17.0,Expired,Yes,Inspection,5.0,James Anderson
KF-10031,2024-06-25,CUST-1205,Eastern Process Solutions,Power Generation,Singapore,Asia Pacific,Fire Detection,Smoke Detector,Turbine Hall,Distributor,27,5191.27,10,126147.86,103056.02,23091.84,Delivered,30.0,Active,No,Unknown,5.0,Michael Brown
KF-10032,2025-12-14,CUST-1110,Apex Data Infrastructure,Oil & Gas,UK,Europe,Fire Detection,Heat Detector,Process Area,System Integrator,28,2538.66,7,66106.71,49862.24,16244.47,Processing,0.0,Active,No,Unknown,0.0,James Anderson
KF-10033,2024-02-23,CUST-1145,MedCore Facilities,BESS,Singapore,Asia Pacific,Gas Ignition Controls,Flame Detector,Battery Energy Storage Room,System Integrator,8,10256.77,10,73848.74,48287.22,25561.52,On Hold,0.0,Active,No,Unknown,0.0,James Anderson
KF-10034,2024-06-14,CUST-1133,NextGrid Energy,Oil & Gas,Singapore,Asia Pacific,Temperature Controls,Temperature Controller,Process Area,Distributor,28,7712.59,12,190038.22,126105.81,63932.41,Delivered,19.0,Active,No,Unknown,5.0,Ananya Rao
KF-10035,2026-01-30,CUST-1184,BlueWave Engineering,Commercial,India,Asia Pacific,Fire Detection,Manual Call Point,Commercial Building,System Integrator,2,6822.13,3,13234.93,7917.23,5317.7,Delivered,20.0,Active,Yes,Commissioning,3.0,Ananya Rao
KF-10036,2024-08-20,CUST-1026,BlueWave Engineering,Power Generation,UK,Europe,Gas Ignition Controls,Gas Ignition Controller,Turbine Hall,System Integrator,19,5643.8,0,107232.2,65299.33,41932.87,Delivered,38.0,Active,No,Unknown,4.0,Michael Brown
KF-10037,2025-09-30,CUST-1078,Eastern Process Solutions,Healthcare,Japan,Asia Pacific,Gas Ignition Controls,Ignition Module,Critical Care Area,Distributor,29,12443.63,3,350039.31,220610.12,129429.19,On Hold,0.0,Active,No,Unknown,0.0,James Anderson
KF-10038,2026-06-01,CUST-1017,MedCore Facilities,Marine,USA,North America,Fire Detection,Heat Detector,Engine Room,Distributor,15,1060.1,10,14311.35,9516.98,4794.37,Delivered,29.0,Expired,No,Unknown,4.0,Sarah Wilson
KF-10039,2026-02-14,CUST-1180,Summit Energy Services,BESS,UK,Europe,Gas Ignition Controls,Gas Ignition Controller,Battery Energy Storage Room,OEM Partner,10,9734.39,7,90529.83,65257.69,25272.14,In Transit,23.0,Active,No,Unknown,0.0,Sarah Wilson
KF-10040,2025-03-21,CUST-1031,Eastern Process Solutions,Data Center,USA,North America,Gas Ignition Controls,Gas Ignition Controller,Server Room,Direct,1,2907.6,5,2762.22,2166.12,596.1,Delivered,35.0,Active,No,Unknown,2.0,Priya Sharma
KF-10041,2025-12-15,CUST-1225,NextGrid Energy,Marine,Saudi Arabia,Middle East,Fire Suppression,Water Mist System,Engine Room,Direct,4,14953.98,10,53834.33,40506.55,13327.78,Delivered,9.0,Active,No,Unknown,4.0,Priya Sharma
KF-10042,2025-10-11,CUST-1065,Prime Commercial Group,Commercial,Canada,North America,Temperature Controls,Thermal Sensor,Commercial Building,Direct,30,2705.03,5,77093.36,54864.63,22228.73,On Hold,0.0,Active,No,Unknown,0.0,Michael Brown
KF-10043,2026-07-18,CUST-1093,Eastern Process Solutions,Marine,USA,North America,Fire Suppression,CO2 Suppression System,Engine Room,System Integrator,30,13011.65,12,343507.56,280928.41,62579.15,Delivered,39.0,Not Applicable,No,Unknown,2.0,Michael Brown
KF-10044,2025-02-05,CUST-1179,Vertex Industrial,Commercial,Japan,Asia Pacific,Fire Detection,Addressable Fire Alarm Panel,Commercial Building,Direct,5,3547.69,5,16851.53,12153.22,4698.31,Processing,0.0,Active,No,Unknown,0.0,Robert Taylor
KF-10045,2025-08-01,CUST-1033,NextGrid Energy,Manufacturing,UK,Europe,Fire Detection,Addressable Fire Alarm Panel,Production Floor,Distributor,23,4099.93,7,87697.5,59947.1,27750.4,In Transit,12.0,Expired,Yes,Replacement,0.0,Robert Taylor
KF-10046,2026-05-14,CUST-1184,Eastern Process Solutions,Commercial,India,Asia Pacific,Fire Detection,Addressable Fire Alarm Panel,Commercial Building,Direct,5,1250.97,10,5629.37,4449.59,1179.78,Delivered,17.0,Active,No,Unknown,3.0,James Anderson
KF-10047,2024-05-13,CUST-1210,BlueWave Engineering,Manufacturing,Canada,North America,Temperature Controls,Temperature Controller,Production Floor,Direct,19,2804.38,15,45290.74,29991.79,15298.95,Delivered,30.0,Not Applicable,Yes,Replacement,3.0,Robert Taylor
KF-10048,2025-04-06,CUST-1046,Prime Commercial Group,Healthcare,Australia,Asia Pacific,Gas Ignition Controls,Gas Ignition Controller,Critical Care Area,Direct,5,9931.12,0,49655.6,29721.71,19933.89,On Hold,0.0,Not Applicable,No,Unknown,0.0,Sarah Wilson
KF-10049,2024-11-08,CUST-1038,Global Power Systems,Manufacturing,Singapore,Asia Pacific,Temperature Controls,High Temperature Switch,Production Floor,System Integrator,22,5701.35,10,112886.73,71044.04,41842.69,Delivered,0.0,Active,No,Unknown,5.0,Sarah Wilson
KF-10050,2024-10-11,CUST-1049,MedCore Facilities,Marine,France,Europe,Fire Suppression,CO2 Suppression System,Engine Room,Direct,12,17406.09,0,208873.08,136760.39,72112.69,In Transit,26.0,Active,No,Unknown,0.0,Priya Sharma
KF-10051,2025-12-23,CUST-1078,Oceanic Marine Ltd,Manufacturing,Netherlands,Europe,Fire Suppression,Water Mist System,Production Floor,System Integrator,29,27455.58,5,756401.23,516190.39,240210.84,Delivered,34.0,Active,Yes,Inspection,2.0,Sarah Wilson
KF-10052,2024-06-10,CUST-1008,Apex Data Infrastructure,Oil & Gas,Netherlands,Europe,Fire Suppression,FM-200 Suppression System,Process Area,Direct,19,29819.74,5,538246.31,428112.13,110134.18,Delivered,27.0,Not Applicable,No,Unknown,5.0,Robert Taylor
KF-10053,2024-04-05,CUST-1144,NextGrid Energy,Healthcare,USA,North America,Fire Suppression,Clean Agent System,Critical Care Area,OEM Partner,22,8824.45,3,188313.76,113716.26,74597.5,On Hold,0.0,Active,No,Unknown,0.0,James Anderson
KF-10054,2024-03-22,CUST-1234,Global Power Systems,Power Generation,Canada,North America,Fire Detection,Manual Call Point,Turbine Hall,System Integrator,7,4351.0,12,26802.16,19680.88,7121.28,Cancelled,0.0,Expired,No,Unknown,0.0,Robert Taylor
KF-10055,2025-12-14,CUST-1014,BlueWave Engineering,Healthcare,Canada,North America,Fire Suppression,FM-200 Suppression System,Critical Care Area,OEM Partner,30,39512.41,10,1066835.07,654638.98,412196.09,Delivered,27.0,Expired,No,Unknown,1.0,Sarah Wilson
KF-10056,2024-05-25,CUST-1122,MedCore Facilities,Marine,Australia,Asia Pacific,Fire Detection,Smoke Detector,Engine Room,Direct,14,2169.66,5,28856.48,16864.12,11992.36,Delivered,40.0,Active,Yes,Replacement,5.0,Sarah Wilson
KF-10057,2025-12-02,CUST-1036,Oceanic Marine Ltd,Marine,USA,North America,Gas Ignition Controls,Flame Detector,Engine Room,Distributor,8,10272.56,10,73962.43,50076.38,23886.05,Delivered,6.0,Active,No,Unknown,2.0,James Anderson
KF-10058,2024-10-15,CUST-1109,Global Power Systems,Data Center,Netherlands,Europe,Fire Suppression,Water Mist System,Server Room,Direct,27,32857.98,12,780705.6,590070.8,190634.8,Delivered,0.0,Active,No,Unknown,5.0,Sarah Wilson
KF-10059,2024-04-17,CUST-1044,Apex Data Infrastructure,Data Center,UK,Europe,Fire Detection,Addressable Fire Alarm Panel,Server Room,Direct,25,314.63,0,7865.75,4708.94,3156.81,In Transit,34.0,Active,Yes,Replacement,0.0,Michael Brown
KF-10060,2024-07-18,CUST-1026,Summit Energy Services,Oil & Gas,UAE,Middle East,Fire Suppression,Water Mist System,Process Area,OEM Partner,16,5817.13,10,83766.67,61395.57,22371.1,Delivered,29.0,Active,No,Unknown,2.0,Robert Taylor
KF-10061,2025-04-21,CUST-1103,Apex Data Infrastructure,Manufacturing,Saudi Arabia,Middle East,Fire Suppression,FM-200 Suppression System,Production Floor,Distributor,14,13103.43,0,183448.02,124969.02,58479.0,Delivered,34.0,Active,No,Unknown,4.0,Robert Taylor
KF-10062,2025-05-30,CUST-1016,Summit Energy Services,Marine,Netherlands,Europe,Fire Detection,Smoke Detector,Engine Room,OEM Partner,5,5546.21,7,25789.88,19934.4,5855.48,Processing,0.0,Active,No,Unknown,0.0,Emily Davis
KF-10063,2025-04-21,CUST-1153,MedCore Facilities,Marine,France,Europe,Gas Ignition Controls,Flame Detector,Engine Room,OEM Partner,23,4596.71,0,105724.33,62656.9,43067.43,Delivered,20.0,Not Applicable,No,Unknown,5.0,James Anderson
KF-10064,2025-08-07,CUST-1229,Vertex Industrial,Healthcare,India,Asia Pacific,Fire Detection,Smoke Detector,Critical Care Area,System Integrator,30,2078.72,0,62361.6,50952.76,11408.84,Delivered,28.0,Active,No,Unknown,5.0,Ananya Rao
KF-10065,2024-12-31,CUST-1006,Prime Commercial Group,Power Generation,Saudi Arabia,Middle East,Fire Suppression,Clean Agent System,Turbine Hall,Direct,25,30037.42,3,728407.44,567687.4,160720.04,Delivered,38.0,Active,Yes,Breakdown Support,5.0,Emily Davis
KF-10066,2024-06-08,CUST-1142,Prime Commercial Group,Power Generation,UAE,Middle East,Fire Suppression,Water Mist System,Turbine Hall,Distributor,17,16458.89,7,260215.05,160535.78,99679.27,Delivered,17.0,Active,No,Unknown,4.0,David Miller
KF-10067,2024-02-07,CUST-1176,Prime Commercial Group,Data Center,UAE,Middle East,Fire Detection,Addressable Fire Alarm Panel,Server Room,Direct,3,5464.6,0,16393.8,11115.47,5278.33,Delivered,9.0,Active,No,Unknown,5.0,Michael Brown
KF-10068,2024-05-26,CUST-1013,BlueWave Engineering,Marine,USA,North America,Fire Suppression,Clean Agent System,Engine Room,Direct,26,6864.08,3,173112.1,136909.37,36202.73,Cancelled,0.0,Active,Yes,Preventive Maintenance,0.0,Sarah Wilson
KF-10069,2025-10-31,CUST-1077,MedCore Facilities,Commercial,USA,North America,Temperature Controls,Temperature Controller,Commercial Building,Distributor,11,3881.44,3,41414.96,27351.62,14063.34,Cancelled,0.0,Active,No,Unknown,0.0,Ananya Rao
KF-10070,2024-08-11,CUST-1221,Vertex Industrial,Healthcare,USA,North America,Gas Ignition Controls,Gas Ignition Controller,Critical Care Area,OEM Partner,2,2045.33,10,3681.59,2613.58,1068.01,Processing,0.0,Active,Yes,Replacement,0.0,Priya Sharma
KF-10071,2025-11-17,CUST-1204,MedCore Facilities,BESS,Singapore,Asia Pacific,Gas Ignition Controls,Gas Ignition Controller,Battery Energy Storage Room,Direct,22,5299.83,10,104936.63,85799.93,19136.7,On Hold,0.0,Expired,Yes,Replacement,0.0,David Miller
KF-10072,2025-05-03,CUST-1206,NextGrid Energy,Marine,Australia,Asia Pacific,Fire Suppression,CO2 Suppression System,Engine Room,Distributor,26,17088.88,12,390993.57,236365.96,154627.61,Delivered,33.0,Expired,No,Unknown,2.0,David Miller
KF-10073,2026-06-10,CUST-1024,Global Power Systems,Commercial,USA,North America,Gas Ignition Controls,Gas Ignition Controller,Commercial Building,System Integrator,15,2791.37,15,35589.97,24138.55,11451.42,In Transit,38.0,Active,Yes,Preventive Maintenance,0.0,Priya Sharma
KF-10074,2026-07-28,CUST-1199,Apex Data Infrastructure,Data Center,Netherlands,Europe,Fire Detection,Addressable Fire Alarm Panel,Server Room,Distributor,29,4033.64,10,105278.0,76883.77,28394.23,Delivered,7.0,Active,No,Unknown,1.0,Priya Sharma
KF-10075,2024-03-12,CUST-1032,BlueWave Engineering,BESS,USA,North America,Fire Detection,Addressable Fire Alarm Panel,Battery Energy Storage Room,Direct,22,5891.63,5,123135.07,84871.2,38263.87,Delivered,34.0,Active,No,Unknown,4.0,Priya Sharma
KF-10076,2025-10-21,CUST-1033,BlueWave Engineering,Healthcare,Japan,Asia Pacific,Temperature Controls,Temperature Controller,Critical Care Area,Direct,9,3401.93,5,29086.5,21185.37,7901.13,Delivered,44.0,Active,No,Unknown,4.0,Emily Davis
KF-10077,2024-11-12,CUST-1223,BlueWave Engineering,Power Generation,Canada,North America,Fire Suppression,CO2 Suppression System,Turbine Hall,Distributor,6,21021.46,7,117299.75,94821.83,22477.92,In Transit,10.0,Active,No,Unknown,0.0,Priya Sharma
KF-10078,2025-02-13,CUST-1012,MedCore Facilities,Oil & Gas,Saudi Arabia,Middle East,Fire Suppression,Water Mist System,Process Area,OEM Partner,15,8349.12,7,116470.22,90398.53,26071.69,Delivered,45.0,Active,No,Unknown,5.0,James Anderson
KF-10079,2026-07-02,CUST-1131,Summit Energy Services,Oil & Gas,France,Europe,Fire Detection,Heat Detector,Process Area,System Integrator,4,5355.33,5,20350.25,14515.57,5834.68,In Transit,41.0,Not Applicable,No,Unknown,0.0,David Miller
KF-10080,2026-01-01,CUST-1105,NextGrid Energy,Manufacturing,Canada,North America,Fire Detection,Addressable Fire Alarm Panel,Production Floor,Distributor,12,4154.46,10,44868.17,32794.31,12073.86,Delivered,24.0,Active,No,Unknown,4.0,James Anderson
KF-10081,2025-06-13,CUST-1100,MedCore Facilities,BESS,Netherlands,Europe,Gas Ignition Controls,Flame Detector,Battery Energy Storage Room,Distributor,6,2518.68,5,14356.48,9649.32,4707.16,In Transit,19.0,Active,No,Unknown,0.0,Priya Sharma
KF-10082,2026-01-12,CUST-1193,Eastern Process Solutions,Oil & Gas,Germany,Europe,Fire Detection,Addressable Fire Alarm Panel,Process Area,OEM Partner,13,5134.23,7,62072.84,45873.64,16199.2,Delivered,29.0,Not Applicable,No,Unknown,5.0,Ananya Rao
KF-10083,2024-05-12,CUST-1107,Prime Commercial Group,Power Generation,France,Europe,Fire Suppression,CO2 Suppression System,Turbine Hall,System Integrator,3,21917.05,7,61148.57,37605.24,23543.33,Delivered,16.0,Expired,Yes,Commissioning,4.0,James Anderson
KF-10084,2024-01-20,CUST-1069,Apex Data Infrastructure,Manufacturing,UK,Europe,Temperature Controls,Temperature Controller,Production Floor,Direct,6,1602.08,0,9612.48,6800.64,2811.84,Delivered,5.0,Active,No,Unknown,5.0,David Miller
KF-10085,2025-03-02,CUST-1178,Summit Energy Services,Healthcare,Canada,North America,Fire Suppression,FM-200 Suppression System,Critical Care Area,OEM Partner,27,38460.9,7,965753.2,619061.22,346691.98,Delivered,42.0,Active,Yes,Replacement,3.0,Robert Taylor
KF-10086,2025-02-17,CUST-1219,Eastern Process Solutions,Commercial,USA,North America,Fire Detection,Manual Call Point,Commercial Building,Direct,6,5217.69,10,28175.53,22729.41,5446.12,Delivered,21.0,Expired,No,Unknown,5.0,Emily Davis
KF-10087,2025-08-07,CUST-1245,BlueWave Engineering,Oil & Gas,UAE,Middle East,Fire Detection,Manual Call Point,Process Area,System Integrator,21,1678.66,15,29964.08,17725.88,12238.2,Cancelled,0.0,Not Applicable,No,Unknown,0.0,Priya Sharma
KF-10088,2026-04-01,CUST-1199,Prime Commercial Group,Marine,Singapore,Asia Pacific,Fire Detection,Smoke Detector,Engine Room,System Integrator,6,3724.27,10,20111.06,13477.65,6633.41,In Transit,25.0,Active,No,Unknown,0.0,Priya Sharma
KF-10089,2026-03-04,CUST-1221,Summit Energy Services,Marine,uk,Europe,Fire Detection,Addressable Fire Alarm Panel,Engine Room,Direct,12,6851.4,5,78105.96,52420.7,25685.26,On Hold,0.0,Expired,No,Unknown,0.0,Priya Sharma
KF-10090,2024-01-21,CUST-1203,Oceanic Marine Ltd,BESS,Canada,North America,Fire Suppression,Water Mist System,Battery Energy Storage Room,System Integrator,15,33165.57,7,462659.7,326219.59,136440.11,Delivered,20.0,Active,No,Unknown,3.0,Priya Sharma
KF-10091,2024-04-15,CUST-1090,BlueWave Engineering,Commercial,Saudi Arabia,Middle East,Fire Detection,Smoke Detector,Commercial Building,Distributor,4,704.35,7,2620.18,1885.02,735.16,In Transit,22.0,Active,No,Unknown,0.0,David Miller
KF-10092,2026-04-01,CUST-1137,Summit Energy Services,Manufacturing,Canada,North America,Fire Detection,Addressable Fire Alarm Panel,Production Floor,Direct,7,2946.7,5,19595.55,11774.76,7820.79,Delivered,17.0,Active,No,Unknown,0.0,Robert Taylor
KF-10093,2024-06-15,CUST-1069,Apex Data Infrastructure,Healthcare,Singapore,Asia Pacific,Fire Suppression,FM-200 Suppression System,Critical Care Area,System Integrator,24,21906.17,10,473173.27,371101.19,102072.08,In Transit,22.0,Expired,Yes,Breakdown Support,0.0,Priya Sharma
KF-10094,2025-03-16,CUST-1042,Vertex Industrial,Healthcare,UAE,Middle East,Fire Suppression,FM-200 Suppression System,Critical Care Area,Direct,5,6343.17,3,30764.37,22509.79,8254.58,Delivered,0.0,Active,No,Unknown,5.0,Robert Taylor
KF-10095,2025-11-06,CUST-1013,Apex Data Infrastructure,Marine,Australia,Asia Pacific,Gas Ignition Controls,Flame Detector,Engine Room,OEM Partner,4,11567.77,3,44882.95,32983.11,11899.84,Delivered,12.0,Active,No,Unknown,4.0,Sarah Wilson
KF-10096,2025-12-27,CUST-1008,Vertex Industrial,Healthcare,Japan,Asia Pacific,Fire Detection,Addressable Fire Alarm Panel,Critical Care Area,OEM Partner,6,1947.45,5,11100.46,8221.85,2878.61,Delivered,42.0,Active,No,Unknown,4.0,Sarah Wilson
KF-10097,2026-06-26,CUST-1023,Oceanic Marine Ltd,Data Center,UAE,Middle East,Fire Suppression,CO2 Suppression System,Server Room,OEM Partner,23,7761.52,10,160663.46,106586.9,54076.56,On Hold,0.0,Active,No,Unknown,0.0,Emily Davis
KF-10098,2026-02-22,CUST-1105,Prime Commercial Group,Data Center,Saudi Arabia,Middle East,Temperature Controls,High Temperature Switch,Server Room,Distributor,30,4368.85,10,117958.95,72031.78,45927.17,Delivered,0.0,Active,Yes,Breakdown Support,4.0,David Miller
KF-10099,2024-11-11,CUST-1042,Vertex Industrial,Oil & Gas,USA,North America,Fire Detection,Manual Call Point,Process Area,Distributor,23,1823.52,10,37746.86,27098.51,10648.35,Cancelled,0.0,Active,No,Unknown,0.0,James Anderson
KF-10100,2026-07-19,CUST-1054,Apex Data Infrastructure,Oil & Gas,Netherlands,Europe,Fire Suppression,FM-200 Suppression System,Process Area,OEM Partner,3,33948.5,0,101845.5,62829.49,39016.01,Delivered,24.0,Active,No,Unknown,4.0,Robert Taylor
KF-10101,2025-06-20,CUST-1078,NextGrid Energy,Commercial,Germany,Europe,Gas Ignition Controls,Flame Detector,Commercial Building,Distributor,20,7722.21,5,146721.99,87499.32,59222.67,Delivered,16.0,Not Applicable,No,Unknown,4.0,James Anderson
KF-10102,2025-10-03,CUST-1099,Prime Commercial Group,Oil & Gas,Canada,North America,Fire Detection,Heat Detector,Process Area,Direct,2,4969.37,10,8944.87,6175.11,2769.76,Delivered,35.0,Expired,No,Unknown,3.0,Priya Sharma
KF-10103,2025-02-23,CUST-1227,MedCore Facilities,BESS,France,Europe,Fire Detection,Manual Call Point,Battery Energy Storage Room,System Integrator,1,5884.07,3,5707.55,3548.39,2159.16,Delivered,43.0,Expired,No,Unknown,4.0,Priya Sharma
KF-10104,2025-04-15,CUST-1237,Prime Commercial Group,Commercial,France,Europe,Temperature Controls,Thermal Sensor,Commercial Building,Direct,30,6422.7,10,173412.9,124807.97,48604.93,Delivered,43.0,Active,No,Unknown,5.0,Sarah Wilson
